# Radius (nm), Energy
7.103406813627254769e-08,2.503170977342989226e-02
7.123246492985972109e-08,2.482313667813568908e-02
7.143086172344689448e-08,2.461687436858316785e-02
7.162925851703406787e-08,2.441289093164932325e-02
7.182765531062124127e-08,2.421115498163736723e-02
7.202605210420841466e-08,2.401163565013516091e-02
7.222444889779558805e-08,2.381430257609587139e-02
7.242284569138276145e-08,2.361912589613544139e-02
7.262124248496993484e-08,2.342607623504150416e-02
7.281963927855710823e-08,2.323512469648865084e-02
7.301803607214428163e-08,2.304624285395491523e-02
7.321643286573145502e-08,2.285940274183466750e-02
7.341482965931862841e-08,2.267457684674310803e-02
7.361322645290580181e-08,2.249173809900775062e-02
7.381162324649298843e-08,2.231085986434233615e-02
7.401002004008016183e-08,2.213191593569891619e-02
7.420841683366733522e-08,2.195488052529358941e-02
7.440681362725450861e-08,2.177972825680202576e-02
7.460521042084168201e-08,2.160643415772050407e-02
7.480360721442885540e-08,2.143497365188862247e-02
7.500200400801602879e-08,2.126532255216981998e-02
7.520040080160320219e-08,2.109745705328599022e-02
7.539879759519037558e-08,2.093135372480250944e-02
7.559719438877754897e-08,2.076698950426015405e-02
7.579559118236472237e-08,2.060434169045049016e-02
7.599398797595189576e-08,2.044338793683133162e-02
7.619238476953906915e-08,2.028410624507896373e-02
7.639078156312624255e-08,2.012647495877406892e-02
7.658917835671342918e-08,1.997047275721804474e-02
7.678757515030060257e-08,1.981607864937696278e-02
7.698597194388777596e-08,1.966327196794986909e-02
7.718436873747494936e-08,1.951203236355890727e-02
7.738276553106212275e-08,1.936233979905823549e-02
7.758116232464929614e-08,1.921417454395904501e-02
7.777955911823646954e-08,1.906751716896811985e-02
7.797795591182364293e-08,1.892234854063721758e-02
7.817635270541081632e-08,1.877864981612085288e-02
7.837474949899798972e-08,1.863640243803992014e-02
7.857314629258516311e-08,1.849558812944885125e-02
7.877154308617233650e-08,1.835618888890391126e-02
7.896993987975950990e-08,1.821818698563035591e-02
7.916833667334668329e-08,1.808156495478625142e-02
7.936673346693386992e-08,1.794630559282074656e-02
7.956513026052104331e-08,1.781239195292476721e-02
7.976352705410821671e-08,1.767980734057188891e-02
7.996192384769539010e-08,1.754853530914764551e-02
8.016032064128256349e-08,1.741855965566506403e-02
8.035871743486973689e-08,1.728986441656463549e-02
8.055711422845691028e-08,1.716243386359686887e-02
8.075551102204408367e-08,1.703625249978550985e-02
8.095390781563125707e-08,1.691130505546976914e-02
8.115230460921843046e-08,1.678757648442370798e-02
8.135070140280560385e-08,1.666505196005122619e-02
8.154909819639277725e-08,1.654371687165483856e-02
8.174749498997995064e-08,1.642355682077679610e-02
8.194589178356712403e-08,1.630455761761084518e-02
8.214428857715431066e-08,1.618670527748319182e-02
8.234268537074148405e-08,1.606998601740112012e-02
8.254108216432865745e-08,1.595438625266779389e-02
8.273947895791583084e-08,1.583989259356186410e-02
8.293787575150300423e-08,1.572649184208046655e-02
8.313627254509017763e-08,1.561417098874424807e-02
8.333466933867735102e-08,1.550291720946308724e-02
8.353306613226452441e-08,1.539271786246123805e-02
8.373146292585169781e-08,1.528356048526062320e-02
8.392985971943887120e-08,1.517543279172103333e-02
8.412825651302604459e-08,1.506832266913602121e-02
8.432665330661321799e-08,1.496221817538337211e-02
8.452505010020039138e-08,1.485710753612889783e-02
8.472344689378756477e-08,1.475297914208253611e-02
8.492184368737475140e-08,1.464982154630558100e-02
