Rvals*1e9,0a1,0a1
1.473542784128808167e-08,-7.122039084558801733e+03,1.615019735828666203e+00
1.477725375388731169e-08,-7.122070738475204053e+03,1.575443034082734339e+00
1.481907966648654171e-08,-7.122102036069660244e+03,1.536311917328158305e+00
1.486090557908577174e-08,-7.122132982341706338e+03,1.497620132059624520e+00
1.490273149168499845e-08,-7.122163582206945648e+03,1.459361529796870283e+00
1.494455740428423013e-08,-7.122193840498678583e+03,1.421530065032640788e+00
1.498638331688346180e-08,-7.122223761969510633e+03,1.384119793227896356e+00
1.502820922948269017e-08,-7.122253351292920343e+03,1.347124868846303780e+00
1.507003514208191854e-08,-7.122282613064788166e+03,1.310539543441775034e+00
1.511186105468114691e-08,-7.122311551804896226e+03,1.274358163775095587e+00
1.515368696728037859e-08,-7.122340171958400788e+03,1.238575169984519331e+00
1.519551287987961026e-08,-7.122368477897253797e+03,1.203185093789596483e+00
1.523733879247883863e-08,-7.122396473921613506e+03,1.168182556735420707e+00
1.527916470507806700e-08,-7.122424164261218721e+03,1.133562268476271839e+00
1.532099061767729537e-08,-7.122451553076722121e+03,1.099319025096301417e+00
1.536281653027652374e-08,-7.122478644461009935e+03,1.065447707466154359e+00
1.540464244287575541e-08,-7.122505442440480692e+03,1.031943279637001609e+00
1.544646835547498709e-08,-7.122531950976304870e+03,9.988007872655391139e-01
1.548829426807421546e-08,-7.122558173965658170e+03,9.660153560770354808e-01
1.553012018067344383e-08,-7.122584115242916596e+03,9.335821903596914773e-01
1.557194609327267220e-08,-7.122609778580836974e+03,9.014965714899942917e-01
1.561377200587190387e-08,-7.122635167691712013e+03,8.697538564926015070e-01
1.565559791847113555e-08,-7.122660286228494442e+03,8.383494766270009890e-01
1.569742383107036392e-08,-7.122685137785902953e+03,8.072789360084611232e-01
1.573924974366959229e-08,-7.122709725901498132e+03,7.765378102544122640e-01
1.578107565626882065e-08,-7.122734054056746572e+03,7.461217451632937703e-01
1.582290156886805233e-08,-7.122758125678048600e+03,7.160264554168782603e-01
1.586472748146728401e-08,-7.122781944137756909e+03,6.862477233139783195e-01
1.590655339406651238e-08,-7.122805512755167001e+03,6.567813975274683358e-01
1.594837930666574074e-08,-7.122828834797487616e+03,6.276233918904012832e-01
1.599020521926496911e-08,-7.122851913480794792e+03,5.987696842047687262e-01
1.603203113186419748e-08,-7.122874751970955913e+03,5.702163150762973309e-01
1.607385704446343247e-08,-7.122897353384550115e+03,5.419593867732630521e-01
1.611568295706266084e-08,-7.122919720789757775e+03,5.139950621095454864e-01
1.615750886966188920e-08,-7.122941857207231806e+03,4.863195633501575799e-01
1.619933478226111757e-08,-7.122963765610964401e+03,4.589291711379832606e-01
1.624116069486034594e-08,-7.122985448929108315e+03,4.318202234461243627e-01
1.628298660745957431e-08,-7.123006910044817232e+03,4.049891145475279508e-01
1.632481252005880929e-08,-7.123028151797042483e+03,3.784322940093449716e-01
1.636663843265803766e-08,-7.123049176981318851e+03,3.521462657047429445e-01
1.640846434525726603e-08,-7.123069988350539461e+03,3.261275868483459739e-01
1.645029025785649440e-08,-7.123090588615718843e+03,3.003728670454575145e-01
1.649211617045572277e-08,-7.123110980446723261e+03,2.748787673686439170e-01
1.653394208305495775e-08,-7.123131166473006488e+03,2.496419994457714786e-01
1.657576799565418612e-08,-7.123151149284314670e+03,2.246593245689254559e-01
1.661759390825341449e-08,-7.123170931431393910e+03,1.999275528235120447e-01
1.665941982085264286e-08,-7.123190515426661477e+03,1.754435422314233328e-01
1.670124573345187123e-08,-7.123209903744886105e+03,1.512041979125680058e-01
1.674307164605110621e-08,-7.123229098823837376e+03,1.272064712631415517e-01
