R_values,D1_avg
1.061188273813520340e+02,3.271903248334612799e-04
1.063152802471840630e+02,3.245144464846470823e-04
1.065117331130161062e+02,3.218653319767133809e-04
1.067081859788481353e+02,3.192426649950724261e-04
1.069046388446801643e+02,3.166461335361585479e-04
1.071010917105121933e+02,3.140754298408991794e-04
1.072975445763442366e+02,3.115302503293310155e-04
1.074939974421762656e+02,3.090102955363418428e-04
1.076904503080082947e+02,3.065152700485135957e-04
1.078869031738403379e+02,3.040448824420491250e-04
1.080833560396723669e+02,3.015988452217610517e-04
1.082798089055043960e+02,2.991768747611004797e-04
1.084762617713364250e+02,2.967786912432092482e-04
1.086727146371684682e+02,2.944040186029747469e-04
1.088691675030004973e+02,2.920525844700689699e-04
1.090656203688325263e+02,2.897241201129516957e-04
1.092620732346645696e+02,2.874183603838230492e-04
1.094585261004965986e+02,2.851350436645052255e-04
1.096549789663286276e+02,2.828739118132354846e-04
1.098514318321606709e+02,2.806347101123562158e-04
1.100478846979926999e+02,2.784171872168833680e-04
1.102443375638247289e+02,2.762210951039366044e-04
1.104407904296567580e+02,2.740461890230171398e-04
1.106372432954888012e+02,2.718922274471154816e-04
1.108336961613208302e+02,2.697589720246360619e-04
1.110301490271528593e+02,2.676461875321208732e-04
1.112266018929849025e+02,2.655536418277596377e-04
1.114230547588169316e+02,2.634811058056725258e-04
1.116195076246489606e+02,2.614283533509477496e-04
1.118159604904809896e+02,2.593951612954247085e-04
1.120124133563130329e+02,2.573813093742061521e-04
1.122088662221450619e+02,2.553865801828873261e-04
1.124053190879770909e+02,2.534107591354876269e-04
1.126017719538091342e+02,2.514536344230741400e-04
1.127982248196411632e+02,2.495149969730635635e-04
1.129946776854731922e+02,2.475946404091883680e-04
1.131911305513052355e+02,2.456923610121190078e-04
1.133875834171372645e+02,2.438079576807274096e-04
1.135840362829692936e+02,2.419412318939801398e-04
1.137804891488013226e+02,2.400919876734524121e-04
1.139769420146333658e+02,2.382600315464490593e-04
1.141733948804653949e+02,2.364451725097237676e-04
1.143698477462974239e+02,2.346472219937833462e-04
1.145663006121294671e+02,2.328659938277696871e-04
1.147627534779614962e+02,2.311013042049070280e-04
1.149592063437935252e+02,2.293529716485042183e-04
1.151556592096255542e+02,2.276208169785040190e-04
1.153521120754575975e+02,2.259046632785677820e-04
1.155485649412896265e+02,2.242043358636877832e-04
1.157450178071216556e+02,2.225196622483156090e-04
1.159414706729536988e+02,2.208504721150000361e-04
1.161379235387857278e+02,2.191965972835241601e-04
1.163343764046177569e+02,2.175578716805320130e-04
1.165308292704498001e+02,2.159341313096383840e-04
1.167272821362818291e+02,2.143252142220120017e-04
