R_values,C3
2.864864864864864692e-08,-3.815734544263488792e-01
2.874774774774774458e-08,-3.776409671017133540e-01
2.884684684684684555e-08,-3.737623321706602386e-01
2.894594594594594322e-08,-3.699366309461950553e-01
2.904504504504504419e-08,-3.661629634839859149e-01
2.914414414414414185e-08,-3.624404481377677123e-01
2.924324324324324282e-08,-3.587682211267554377e-01
2.934234234234234048e-08,-3.551454361147086125e-01
2.944144144144143814e-08,-3.515712638002911339e-01
2.954054054054053911e-08,-3.480448915183875225e-01
2.963963963963963677e-08,-3.445655228520488333e-01
2.973873873873873774e-08,-3.411323772547467659e-01
2.983783783783783871e-08,-3.377446896826334366e-01
2.993693693693693637e-08,-3.344017102365058891e-01
3.003603603603603404e-08,-3.311027038131900135e-01
3.013513513513513170e-08,-3.278469497660656540e-01
3.023423423423423598e-08,-3.246337415744641741e-01
3.033333333333333364e-08,-3.214623865216787446e-01
3.043243243243243130e-08,-3.183322053813340546e-01
3.053153153153152896e-08,-3.152425321118749180e-01
3.063063063063063324e-08,-3.121927135589356861e-01
3.072972972972973090e-08,-3.091821091653645381e-01
3.082882882882882856e-08,-3.062100906886785490e-01
3.092792792792792622e-08,-3.032760419257403139e-01
3.102702702702703050e-08,-3.003793584444461873e-01
3.112612612612612816e-08,-2.975194473222272373e-01
3.122522522522522582e-08,-2.946957268911666317e-01
3.132432432432432349e-08,-2.919076264895500983e-01
3.142342342342342777e-08,-2.891545862196627237e-01
3.152252252252252543e-08,-2.864360567116595591e-01
3.162162162162162309e-08,-2.837514988933357851e-01
3.172072072072072075e-08,-2.811003837656350646e-01
3.181981981981981841e-08,-2.784821921837321024e-01
3.191891891891892269e-08,-2.758964146435364251e-01
3.201801801801802035e-08,-2.733425510734666664e-01
3.211711711711711801e-08,-2.708201106313473105e-01
3.221621621621621567e-08,-2.683286115062892274e-01
3.231531531531531995e-08,-2.658675807254157752e-01
3.241441441441441761e-08,-2.634365539653015786e-01
3.251351351351351528e-08,-2.610350753679942515e-01
3.261261261261261294e-08,-2.586626973614954417e-01
3.271171171171171060e-08,-2.563189804845798503e-01
3.281081081081081488e-08,-2.540034932158333758e-01
3.290990990990991254e-08,-2.517158118067984729e-01
3.300900900900901020e-08,-2.494555201191132332e-01
3.310810810810810786e-08,-2.472222094655402991e-01
3.320720720720720552e-08,-2.450154784547783904e-01
3.330630630630630980e-08,-2.428349328399575791e-01
3.340540540540540746e-08,-2.406801853707196681e-01
3.350450450450450513e-08,-2.385508556487869469e-01
3.360360360360360279e-08,-2.364465699869298387e-01
3.370270270270270707e-08,-2.343669612712417361e-01
3.380180180180180473e-08,-2.323116688266348151e-01
3.390090090090090239e-08,-2.302803382854713699e-01
3.400000000000000005e-08,-2.282726214592501746e-01
3.409909909909909771e-08,-2.262881762132672725e-01
3.419819819819820199e-08,-2.243266663441735587e-01
3.429729729729729965e-08,-2.223877614603553265e-01
3.439639639639639731e-08,-2.204711368650626169e-01
3.449549549549549497e-08,-2.185764734422170341e-01
3.459459459459459264e-08,-2.167034575448286149e-01
3.469369369369369691e-08,-2.148517808859546629e-01
