Rvals*1e9, Energy (GHz)
1.432857212074424069e+02,-3.049873563346405803e-03
1.436024859441597812e+02,-3.029735410987832722e-03
1.439192506808771839e+02,-3.009774163981848716e-03
1.442360154175945581e+02,-2.989987884035372190e-03
1.445527801543119324e+02,-2.970374658285646063e-03
1.448695448910293067e+02,-2.950932598909883353e-03
1.451863096277466809e+02,-2.931659842745126809e-03
1.455030743644640552e+02,-2.912554550908996731e-03
1.458198391011814294e+02,-2.893614908439978706e-03
1.461366038378988037e+02,-2.874839123925276851e-03
1.464533685746162064e+02,-2.856225429152647877e-03
1.467701333113335807e+02,-2.837772078755573801e-03
1.470868980480509265e+02,-2.819477349874865979e-03
1.474036627847683292e+02,-2.801339541814051870e-03
1.477204275214857034e+02,-2.783356975713413561e-03
1.480371922582030777e+02,-2.765527994221805841e-03
1.483539569949204520e+02,-2.747850961172471074e-03
1.486707217316378262e+02,-2.730324261273064934e-03
1.489874864683552289e+02,-2.712946299792573512e-03
1.493042512050725747e+02,-2.695715502257556295e-03
1.496210159417899490e+02,-2.678630314151941860e-03
1.499377806785073517e+02,-2.661689200621264462e-03
1.502545454152247260e+02,-2.644890646187558758e-03
1.505713101519420718e+02,-2.628233154460701826e-03
1.508880748886594745e+02,-2.611715247857748778e-03
1.512048396253768487e+02,-2.595335467332482438e-03
1.515216043620942514e+02,-2.579092372099633934e-03
1.518383690988115973e+02,-2.562984539371981896e-03
1.521551338355289715e+02,-2.547010564095231189e-03
1.524718985722463742e+02,-2.531169058696214336e-03
1.527886633089637485e+02,-2.515458652824875685e-03
1.531054280456810943e+02,-2.499877993106025542e-03
1.534221927823984970e+02,-2.484425742897755640e-03
1.537389575191158713e+02,-2.469100582045413717e-03
1.540557222558332455e+02,-2.453901206650233036e-03
1.543724869925506198e+02,-2.438826328830856482e-03
1.546892517292679941e+02,-2.423874676500847869e-03
1.550060164659853967e+02,-2.409044993135545099e-03
1.553227812027027710e+02,-2.394336037557565078e-03
1.556395459394201168e+02,-2.379746583712094576e-03
1.559563106761375195e+02,-2.365275420457724209e-03
1.562730754128548938e+02,-2.350921351352397437e-03
1.565898401495722680e+02,-2.336683194446909084e-03
1.569066048862896423e+02,-2.322559782078847945e-03
1.572233696230070166e+02,-2.308549960672756640e-03
1.575401343597243908e+02,-2.294652590542956005e-03
1.578568990964417935e+02,-2.280866545696813574e-03
1.581736638331591394e+02,-2.267190713646449751e-03
1.584904285698765420e+02,-2.253623995214670828e-03
1.588071933065939163e+02,-2.240165304356445120e-03
1.591239580433112906e+02,-2.226813567970165053e-03
1.594407227800286648e+02,-2.213567725721787838e-03
1.597574875167460391e+02,-2.200426729866311604e-03
1.600742522534634134e+02,-2.187389545073692432e-03
1.603910169901808160e+02,-2.174455148260090454e-03
1.607077817268981619e+02,-2.161622528414230970e-03
1.610245464636155361e+02,-2.148890686436200070e-03
1.613413112003329388e+02,-2.136258634971799353e-03
1.616580759370503131e+02,-2.123725398253561991e-03
1.619748406737676873e+02,-2.111290011938216082e-03
1.622916054104850616e+02,-2.098951522956582494e-03
1.626083701472024359e+02,-2.086708989355923194e-03
1.629251348839198101e+02,-2.074561480150727277e-03
1.632418996206371844e+02,-2.062508075175273348e-03
1.635586643573545587e+02,-2.050547864931751008e-03
1.638754290940719613e+02,-2.038679950453925471e-03
1.641921938307893072e+02,-2.026903443159699947e-03
1.645089585675066814e+02,-2.015217464713447981e-03
1.648257233042240841e+02,-2.003621146887901716e-03
1.651424880409414584e+02,-1.992113631428704679e-03
1.654592527776588327e+02,-1.980694069921629108e-03
1.657760175143762069e+02,-1.969361623660237370e-03
